,Player,First year,Last year,Position,Height,Weight,Birth Date,College,id
21,Steven Adams,2014,2018,C,7-0,255,"July 20, 1993",University of Pittsburgh,adamsst01
22,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,addisra01
23,Bam Adebayo,2018,2018,C-F,6-10,243,"July 18, 1997",University of Kentucky,adebaba01
24,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,adelmri01
25,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut,adrieje01
26,Arron Afflalo,2008,2018,G,6-5,210,"October 15, 1985","University of California, Los Angeles",afflaar01
27,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University,agerma01
28,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University,aguirma01
29,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University,ahearbl01
30,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University,aingeda01
31,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University,aitchma01
32,Alexis Ajinca,2009,2017,C,7-2,248,"May 6, 1988",,ajincal01
33,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,akinhe01
34,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton",akognjo01
35,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University,alabiso01
36,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University,alarima01
37,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno",alcorga01
38,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,aldemfu01
39,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",University of Kansas,aldrico01
40,LaMarcus Aldridge,2007,2018,F-C,6-11,260,"July 19, 1985",University of Texas at Austin,aldrila01
41,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959",University of Connecticut,aleksch01
42,Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",University of Kansas,alexacl01
43,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia,alexaco01
44,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno",alexaco02
45,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida,alexaga01
46,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University,alexajo01
47,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University,alexavi01
48,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University,alforst01
49,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,allenbi01
50,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University,allenbo01
51,Jarrett Allen,2018,2018,F-C,6-10,234,"April 21, 1998",University of Texas at Austin,allenja01
52,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania,allenje01
53,Kadeem Allen,2018,2018,G,6-3,192,"January 15, 1993",University of Arizona,allenka01
54,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University,allenla01
55,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles",allenlu01
56,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University,allenma01
57,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University,allenra01
58,Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut,allenra02
59,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982",Oklahoma State University,allento01
60,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami,allenwi01
61,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas",allisod01
62,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981",Weber State University,allrela01
63,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles",allumda01
64,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,almonmo01
65,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University,alstode01
66,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno",alstora01
67,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University,alumape01
68,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970",Pennsylvania State University,amaecjo01
69,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University,amayaas01
70,Al-Farouq Aminu,2011,2018,F,6-9,220,"September 21, 1990",Wake Forest University,aminual01
71,Lou Amundson,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas",amundlo01
72,Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University,anderbo01
73,Chris Andersen,2002,2017,F-C,6-10,245,"July 7, 1978",Blinn College,anderch01
74,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,anderda03
75,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University,anderal01
76,Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College,anderan01
77,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis,anderan02
78,Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University,andercl01
79,Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,anderda01
80,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California,anderda02
81,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky,anderde01
82,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960",University of Southern California,anderdw01
83,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University,anderer01
84,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston,andergr01
85,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University,anderjj01
86,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University,anderja01
87,Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University,anderje01
88,Justin Anderson,2016,2018,G,6-6,228,"November 19, 1993",University of Virginia,anderju01
89,Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology,anderke01
90,Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri,anderki01
91,Kyle Anderson,2015,2018,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles",anderky01
92,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University,andermi01
93,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign,anderni01
94,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara",anderri01
95,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno",anderro01
96,Ryan Anderson,2009,2018,F,6-10,240,"May 6, 1988",University of California,anderry01
97,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia,andersh01
98,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia,anderwi01
99,Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University,anderwa01
100,Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",,andrima01
101,Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University,anieldo01
102,Ike Anigbogu,2018,2018,F-C,6-10,252,"October 22, 1998","University of California, Los Angeles",anigbik01
103,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama,anslemi01
104,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,anstech01
105,Giannis Antetokounmpo,2014,2018,F-G,6-11,222,"December 6, 1994",,antetgi01
106,Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",,antetth01
107,Carmelo Anthony,2004,2018,F,6-8,240,"May 29, 1984",Syracuse University,anthoca01
108,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Nevada, Las Vegas",anthogr01
109,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas",anthojo01
110,Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",,anticpe01
111,OG Anunoby,2018,2018,F,6-8,232,"July 17, 1997",Indiana University,anunoog01
112,Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University,applike01
113,Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University,araujra01
114,Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University,arcenst01
115,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign,archiro01
116,Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso,architi01
117,Ryan Arcidiacono,2018,2018,G,6-3,188,"March 26, 1994",Villanova University,arcidry01
118,Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati,ardji01
119,Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona,arenagi01
120,Trevor Ariza,2005,2018,F,6-8,215,"June 30, 1985","University of California, Los Angeles",arizatr01
121,Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University,arizipa01
122,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,arlaujo01
123,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa,armstbj01
124,Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University,armstbo01
125,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University,armstbr01
126,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University,armstcu01
127,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,armstda01
128,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut,armsthi01
129,Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University,armstta01
130,Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University,arnelje01
131,Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin,arnetja01
132,Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame,arnzebo01
133,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,arroyca01
134,Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",University of Kansas,arthuda01
135,John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University,arthujo01
136,Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",University of Pittsburgh,artisja01
137,Omer Asik,2011,2018,C,7-0,255,"July 4, 1986",,asikom01
138,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis,askewvi01
139,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama,askinke01
140,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,asmondo01
141,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,athadi01
142,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida,atkinch01
143,Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University,attleal01
144,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University,aubucch01
145,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas",augmost01
146,D.J. Augustin,2009,2018,G,6-0,183,"November 10, 1987",University of Texas at Austin,augusdj01
147,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign,augusja01
148,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University,austiis01
149,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,austijo01
150,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,austike01
151,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University,aventan01
152,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University,averibi01
153,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University,averywi01
154,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University,awtrede01
155,Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",,ayongu01
156,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University,pendeje02
157,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky,azubuke01
158,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University,babbch01
159,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989","University of Nevada, Reno",babbilu01
160,Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,babicmi01
161,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University,bachjo01
162,Dwayne Bacon,2018,2018,G,6-6,222,"August 30, 1995",Florida State University,bacondw01
163,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville,baconhe01
164,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,baechji01
165,Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",,bagarda01
166,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,baglejo01
167,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,baileca01
168,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso,bailegu01
169,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,baileja01
170,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University,baileth01
171,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles",baileto01
172,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico,bairsca01
173,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii,bakerji01
174,LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University,bakerla01
175,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University,bakerma01
176,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,bakerno01
177,Ron Baker,2017,2018,G,6-4,220,"March 30, 1993",Wichita State University,bakerro01
178,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,bakervi01
179,Wade Baldwin,2017,2017,G,6-4,202,"March 29, 1996",Vanderbilt University,baldwwa01
180,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,balkmre01
181,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,ballce01
182,Lonzo Ball,2018,2018,G,6-6,190,"October 27, 1997","University of California, Los Angeles",balllo01
183,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,ballagr01
184,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,baltihe01
185,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,banksge01
186,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",banksma01
187,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,bankswa01
188,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College,bannike01
189,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,bantomi01
190,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",barbejo01
191,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",,barbole01
192,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,bardost01
193,J.J. Barea,2007,2018,G,6-0,185,"June 26, 1984",Northeastern University,bareajo01
194,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",,bargnan01
195,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,barkecl01
196,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,barketo01
197,Charles Barkley,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,barklch01
198,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,barkler01
199,Don Barksdale,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",barksdo01
200,Harrison Barnes,2013,2018,F,6-8,210,"May 30, 1992",University of North Carolina,barneha02
201,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,barneha01
202,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,barneji01
203,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College,barnema01
204,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles",barnema02
205,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University,barnedi01
206,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon,barneji02
207,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,barnena01
208,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University,barnhjo01
209,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State University,barnhno01
210,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame,barnhle01
211,John Barr,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University,barrjo01
212,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University,barrmi01
213,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University,barrmo01
214,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University,barrean01
215,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University,barreer01
216,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology,barremi01
217,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis,barroea01
218,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College,barroda01
219,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University,barrybr01
220,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology,barrydr01
221,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology,barryjo01
222,Rick Barry,1966,1980,F,6-7,205,"March 28, 1944",University of Miami,barryri01
223,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University,barteed01
224,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University,bartovi01
225,Will Barton,2013,2018,G,6-6,175,"January 6, 1991",University of Memphis,bartowi01
226,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte,basdeed01
227,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University,baskeje01
228,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University,bassbr01
229,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia,basseti01
230,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan,bastoma01
231,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",,bateeme01
232,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,batesbi01
233,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",,batises01
234,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University,batismi01
235,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University,battito01
236,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University,battish01
237,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,battljo01
238,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964",University of Illinois at Urbana-Champaign,battlke01
239,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame,battoda01
240,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati,battsll01
241,Nicolas Batum,2009,2018,F-G,6-8,200,"December 14, 1988",,batumni01
242,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University,baumjo01
243,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,baumhfr01
244,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland,baxtelo01
245,Jerryd Bayless,2009,2018,G,6-3,200,"August 20, 1988",University of Arizona,bayleje01
246,Elgin Baylor,1959,1972,F,6-5,225,"September 16, 1934",Seattle University,bayloel01
247,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee,bayneho01
248,Aron Baynes,2013,2018,C,6-10,260,"December 9, 1986",Washington State University,baynear01
249,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",,bazarse01
250,Kent Bazemore,2013,2018,G-F,6-5,201,"July 1, 1989",Old Dominion University,bazemke01
251,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia University,beached01
252,Bradley Beal,2013,2018,G,6-5,207,"June 28, 1993",University of Florida,bealbr01
253,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University,beardal01
254,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",University of Louisville,beardbu01
255,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",University of Kentucky,beardra01
256,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",Southern Methodist University,beaslch01
257,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980",University of North Dakota,beaslje01
258,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University,beasljo01
259,Malik Beasley,2017,2018,G,6-5,196,"November 26, 1996",Florida State University,beaslma01
260,Michael Beasley,2009,2018,F,6-9,235,"January 9, 1989",Kansas State University,beaslmi01
261,Zelmo Beaty,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,beatyze01
262,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",,beaubro01
263,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",University of Denver,beckby01
264,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971",University of Arkansas,beckco01
265,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",University of Pennsylvania,becker01
266,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State University,beckear01
267,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne University,beckemo01
268,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford University,bedelbo01
269,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis,bedfowi01
270,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,beendha01
271,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",University of Minnesota,behagro01
272,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley University,behnkel01
273,Marco Belinelli,2008,2018,G-F,6-5,210,"March 25, 1986",,belinma01
274,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University,bellch01
275,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University,bellde01
276,Jordan Bell,2018,2018,F,6-9,224,"January 7, 1995",University of Oregon,belljo01
277,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976",Florida International University,bellra01
278,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College,belltr01
279,Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",North Carolina State University,bellwh01
280,Walt Bellamy,1962,1975,C,6-11,225,"July 24, 1939",Indiana University,bellawa01
281,DeAndre' Bembry,2017,2018,F,6-6,210,"July 4, 1994",Saint Joseph's University,bembrde01
282,Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",University of Illinois at Urbana-Champaign,bemorir01
283,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University,benbole01
284,Dragan Bender,2017,2018,F,7-1,225,"November 17, 1997",,bendedr01
285,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",,bendejo01
286,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991",Towson University,benimje01
287,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton University,benjabe01
288,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University,benjaco01
289,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas",bennean01
290,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame,benneel01
291,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University,bennema01
292,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",University of Pittsburgh,benneme01
293,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State University,bennesp01
294,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay,benneto01
295,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",University of Kentucky,bennewi01
